"state","year","gross_inv","ipd","gross_inv_chain","population","inv_ch_x_pop"
"nevada","2010",924.957,123598.1,1017.255,2.702464,376.417595202008
"new hampshire","2010",250.931,64151.6,275.971,1.316777,209.580665518915
"new jersey","2010",2127.165,495149,2339.425,8.799624,265.855109263759
"new mexico","2010",787.174,83989.2,865.723,2.064588,419.319980548177
"new york","2010",5317.066,1213946.9,5847.632,19.40008,301.423086915106
"north carolina","2010",1904.986,415206.4,2095.076,9.574293,218.823050433071
"north dakota","2010",504.539,35426.3,554.885,0.67471,822.405181485379
"ohio","2010",2505.301,497208.2,2755.294,11.539327,238.774237007063
"oklahoma","2010",1270.566,152911.4,1397.35,3.759632,371.672014707822
"oregon","2010",791.075,163827.6,870.013,3.837532,226.711594847939
"pennsylvania","2010",4866.026,599312.8,5351.585,12.711158,421.014749403634
"rhode island","2010",121.743,49571.8,133.891,1.053938,127.038782167452
"south carolina","2010",601.253,163856.8,661.25,4.635656,142.644320458636
"south dakota","2010",450.835,37484.4,495.822,0.816165,607.502159489809
"tennessee","2010",1526.089,255935.8,1678.37,6.355301,264.089773245988
"texas","2010",6564.01,1237196.8,7219.003,25.242679,285.984027289655
"utah","2010",968.052,117960.5,1064.65,2.775334,383.611486040959
"vermont","2010",177.15,27108.4,194.827,0.62588,311.28491084553
"virginia","2010",1424.375,422902,1566.508,8.02368,195.235602616256
"washington","2010",2580.864,365551.9,2838.397,6.742902,420.945907266634
"west virginia","2010",736.325,65274.1,809.8,1.854214,436.734918407476
"wisconsin","2010",1880.844,254354.1,2068.524,5.690479,363.506130151785
"wyoming","2010",400.09,37401.2,440.013,0.564483,779.497345358496
"alabama","2011",1190.628,181349.8,1250.968,4.798834,260.681657252574
"alaska","2011",741.109,56259.9,778.668,0.722038,1078.43077511156
"arizona","2011",1519.936,257947.8,1596.965,6.473497,246.692784440929
"arkansas","2011",690.512,106085.4,725.506,2.940407,246.736591226997
"california","2011",7005.085,2050056.8,7360.099,37.641823,195.529823303191
"colorado","2011",1157.483,264431.6,1216.143,5.121771,237.445797557134
"connecticut","2011",645.931,236523.7,678.667,3.588023,189.147895651728
"delaware","2011",435.326,60357.4,457.388,0.907316,504.111026367881
"district of columbia","2011",329.134,110076.2,345.814,0.619602,558.122794955471
"florida","2011",5609.756,746787.5,5894.055,19.093352,308.696712866342
"georgia","2011",1969.088,429574,2068.88,9.801578,211.076216503098
"hawaii","2011",291.324,70482.6,306.088,1.379252,221.923187350825
"idaho","2011",466.45,56488.1,490.09,1.583828,309.43385266582
"illinois","2011",4020.467,688288.9,4224.222,12.867291,328.291479535203
"indiana","2011",1678.299,288749.1,1763.355,6.516045,270.617376031013
"iowa","2011",1095.39,147227,1150.904,3.066054,375.369774961563
"kansas","2011",919.815,135315.3,966.431,2.869035,336.848801077714
"kentucky","2011",1394.708,169940.7,1465.391,4.369488,335.36904094942
"louisiana","2011",1916.922,228987.5,2014.071,4.575184,440.216393482754
"maine","2011",299.022,51866.7,314.177,1.32815,236.552347249934
"maryland","2011",1377.078,328058.4,1446.867,5.838991,247.794010985802
"massachusetts","2011",1184.777,425593.2,1244.821,6.613149,188.234228504454
"michigan","2011",1254.462,401105.4,1318.037,9.881521,133.384020536919
"minnesota","2011",1988.491,283807.3,2089.266,5.345668,390.833474880969
"mississippi","2011",795.198,96371.6,835.498,2.97847,280.51247788294
"missouri","2011",1456.837,260093.5,1530.669,6.009641,254.702235957189
"montana","2011",519.163,40579.3,545.474,0.997221,546.994096594436
"nebraska","2011",755.444,99613.4,793.73,1.840538,431.24890656971
"nevada","2011",881.549,126657.1,926.226,2.712799,341.428170682752
"new hampshire","2011",270.838,65430.5,284.564,1.319815,215.609005807632
"new jersey","2011",2298.285,499114.9,2414.761,8.827783,273.541046489249
"new mexico","2011",726.685,86625,763.513,2.080395,367.003862247314
"new york","2011",5298.045,1236061.4,5566.547,19.498514,285.485704192637
"north carolina","2011",2051.805,427205.6,2155.789,9.656754,223.241577863535
"north dakota","2011",622.269,41179.2,653.805,0.685136,954.270393031456
"ohio","2011",2593.71,525388.4,2725.158,11.543463,236.078029617282
"oklahoma","2011",1273.522,165035.6,1338.064,3.787821,353.254285247376
"oregon","2011",761.514,170621.3,800.107,3.871728,206.653721542422
"pennsylvania","2011",4913.621,618987.7,5162.641,12.744583,405.085125186128
"rhode island","2011",154.097,50175.9,161.907,1.053536,153.679608480394
"south carolina","2011",605.535,170087.2,636.223,4.671422,136.194717582783
"south dakota","2011",488.662,41541.5,513.427,0.823484,623.481451977209
"tennessee","2011",1447.985,267659.1,1521.368,6.39741,237.809988729814
"texas","2011",6938.406,1331220.6,7290.041,25.646227,284.25393723607
"utah","2011",899.232,124539.4,944.805,2.814216,335.725829147443
"vermont","2011",184.296,28135.1,193.636,0.626979,308.839690005566
"virginia","2011",1542.289,432392.7,1620.451,8.100469,200.044096212207
"washington","2011",2511.125,379539,2638.387,6.821655,386.766407858504
"west virginia","2011",706.581,68524.9,742.39,1.856074,399.978664643759
